Fiscal Year,Library,County,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita,PC1,PC2,Cluster,Cluster_Agg
1997,35,6,129,10863,39950,3.7,4551,0.42,2355.0,0.2,92456,8.5,178.0,3558,0.3,45044.0,4.1,190760.0,17.56,173100,15.93,26636.0,102090.0,153455.0,14.1,-1.444248846449208,-0.07025008710758679,0,0
1997,36,3,97,12631,51987,4.1,4413,0.35,4523.0,0.4,82246,6.5,124.0,3448,0.3,42089.0,3.3,329270.0,26.07,321828,25.48,56031.0,230919.0,336227.0,26.6,-1.244081165176291,-0.1894165439785837,0,0
1997,37,0,78,67511,226705,3.4,26931,0.4,36954.0,0.5,308582,4.6,714.0,16582,0.2,89078.0,1.3,1526360.0,22.61,1512625,22.41,175658.0,1060860.0,1533061.0,22.7,2.2015565785884226,-0.21741655427260395,0,0
1997,38,0,1,19271,346815,18.0,17196,0.89,34453.0,1.8,485714,25.2,44.0,5135,0.4,145467.0,7.5,1678090.0,87.08,1227100,63.68,307617.0,861494.0,1387644.0,72.0,1.90274424836107,-1.9580390383432122,0,0
1997,39,3,86,4480,23126,5.2,3726,0.83,828.0,0.2,19808,4.4,4.0,150,0.0,19927.0,4.4,71881.0,16.04,66835,14.92,9688.0,30687.0,52487.0,11.7,-2.05551482380112,-0.13928734740341484,0,0
1997,40,4,138,11954,35372,3.0,2801,0.23,4992.0,0.4,31911,2.7,285.0,7132,0.6,44498.0,3.7,240768.0,20.14,207800,17.38,29835.0,146811.0,225264.0,18.8,-1.3562967690052392,0.294683529108796,0,0
1997,42,4,138,13095,45344,3.8,2163,0.18,1725.0,0.1,53741,4.5,37.0,1578,0.1,44826.0,3.7,332973.0,27.85,500,0.04,66988.0,127055.0,258297.0,21.6,-1.4991541706711011,-0.34162628597494993,0,0
1997,44,3,88,6291,37313,5.9,4298,0.68,15150.0,2.4,78513,12.5,145.0,2933,0.5,41174.0,6.5,229857.0,36.54,224438,35.68,33000.0,142772.0,207597.0,33.0,-1.515563766350056,-0.07742201359626717,0,0
1997,46,1,46,4447,32625,7.3,3504,0.79,800.0,0.2,33634,7.6,118.0,1403,0.3,24963.0,5.6,77103.0,17.34,47586,10.7,14218.0,38683.0,66364.0,14.9,-1.898550691746717,-0.005908403680586486,0,0
1997,47,3,85,7333,15994,2.2,4489,0.61,103.0,0.0,18159,2.5,138.0,1657,0.2,20241.0,2.8,62459.0,8.52,26505,3.61,9377.0,32866.0,51668.0,7.0,-1.951687535798002,0.07355249464929528,0,0
1997,48,3,85,13095,20960,2.9,3685,0.5,10998.0,1.5,27462,3.7,95.0,1532,0.2,21471.0,2.9,129400.0,17.65,56770,7.74,19453.0,55363.0,111287.0,15.2,-1.816867357336788,-0.06335581281990996,0,0
1997,49,3,107,11010,42500,3.9,7682,0.7,3943.0,0.4,67520,6.1,229.0,3302,0.3,37055.0,3.4,260138.0,23.63,253119,22.99,35469.0,193895.0,255847.0,23.2,-1.3832337685871554,0.0259430858440173,0,0
1997,50,3,107,13095,3000,0.3,574,0.05,5771.5,0.5,6398,0.6,38.0,258,0.0,16939.0,1.5,24117.0,2.19,4000,0.36,4700.0,10171.0,19300.0,1.8,-2.0549243105682953,-0.09160167327132344,0,0
1997,51,1,104,47985,191100,4.0,38823,0.81,20412.0,0.4,166670,3.5,65.0,2750,0.1,351662.0,7.3,755454.0,15.74,748070,15.59,124802.0,524514.0,712445.0,14.8,1.247615291986237,-1.7338106430817295,0,0
1997,52,4,142,26453,81500,3.1,17700,0.67,14500.0,0.5,130934,4.9,116.0,2256,0.1,56966.0,2.2,534361.0,20.2,474191,17.93,65000.0,289302.0,414915.0,15.7,-0.7945079224279369,-0.5080250082942399,0,0
1997,53,5,83,15869,70000,4.4,18472,1.16,17720.0,1.1,175156,11.0,267.5,6486,0.4,84456.0,5.3,664101.0,41.85,609754,38.42,101365.0,371748.0,573077.0,36.1,-0.41951738430966223,-0.2770554606384466,0,0
1997,55,1,102,9723,29078,3.0,3814,0.39,5771.5,0.5,52349,5.4,387.0,4693,0.5,32037.0,3.3,269040.0,27.67,90955,9.35,27343.0,142578.0,216496.0,22.3,-1.461424016057496,0.349158786651103,0,0
